instruct_resp_simon.keys,instruct_resp_simon.corr,instruct_resp_simon.rt,trial_resp_simon.keys,trial_resp_simon.corr,trial_resp_simon.rt,trials_train_simon.thisRepN,trials_train_simon.thisTrialN,trials_train_simon.thisN,trials_train_simon.thisIndex,trials_train_simon.ran,target_file,target_pos,target_resp,target_side,participant,date,expName,psychopyVersion,OS,frameRate,instruct_resp_timing.keys,instruct_resp_timing.corr,instruct_resp_timing.rt,trial_resp_timing.keys,trial_resp_timing.rt,trials_train_timing.thisRepN,trials_train_timing.thisTrialN,trials_train_timing.thisN,trials_train_timing.thisIndex,trials_train_timing.ran,instruct_resp.keys,instruct_resp.corr,instruct_resp.rt,trial_resp.keys,trial_resp.corr,trial_resp.rt,target_onset,err,pun,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,block_note_resp.keys,block_note_resp.rt,block_num,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,punish,complete_resp.keys,complete_resp.rt,raffle_trial,raffle_err,raffle_rew
space,0,57.6118,p,1,2.2851,0,0,0,0,1,right.png,,p,left,61153455405f1e389764b2a3,2021-10-27_13h08.39.317,arrow_simon_punish,2021.1.2,MacIntel,59.97361161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,0.8359,0,1,1,2,1,left.png,,w,left,61153455405f1e389764b2a3,2021-10-27_13h08.39.317,arrow_simon_punish,2021.1.2,MacIntel,59.97361161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,1.4574,0,2,2,3,1,left.png,,w,right,61153455405f1e389764b2a3,2021-10-27_13h08.39.317,arrow_simon_punish,2021.1.2,MacIntel,59.97361161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,1.5199,0,3,3,1,1,right.png,,p,right,61153455405f1e389764b2a3,2021-10-27_13h08.39.317,arrow_simon_punish,2021.1.2,MacIntel,59.97361161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,0.7345,1,0,4,3,1,left.png,,w,right,61153455405f1e389764b2a3,2021-10-27_13h08.39.317,arrow_simon_punish,2021.1.2,MacIntel,59.97361161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,0.583,1,1,5,1,1,right.png,,p,right,61153455405f1e389764b2a3,2021-10-27_13h08.39.317,arrow_simon_punish,2021.1.2,MacIntel,59.97361161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,1.1511,1,2,6,0,1,right.png,,p,left,61153455405f1e389764b2a3,2021-10-27_13h08.39.317,arrow_simon_punish,2021.1.2,MacIntel,59.97361161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,0.6703,1,3,7,2,1,left.png,,w,left,61153455405f1e389764b2a3,2021-10-27_13h08.39.317,arrow_simon_punish,2021.1.2,MacIntel,59.97361161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,0.6674,2,0,8,2,1,left.png,,w,left,61153455405f1e389764b2a3,2021-10-27_13h08.39.317,arrow_simon_punish,2021.1.2,MacIntel,59.97361161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,1.2352,2,1,9,3,1,left.png,,w,right,61153455405f1e389764b2a3,2021-10-27_13h08.39.317,arrow_simon_punish,2021.1.2,MacIntel,59.97361161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,1.3001,2,2,10,1,1,right.png,,p,right,61153455405f1e389764b2a3,2021-10-27_13h08.39.317,arrow_simon_punish,2021.1.2,MacIntel,59.97361161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,1.4,2,3,11,0,1,right.png,,p,left,61153455405f1e389764b2a3,2021-10-27_13h08.39.317,arrow_simon_punish,2021.1.2,MacIntel,59.97361161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,1.4542,3,0,12,2,1,left.png,,w,left,61153455405f1e389764b2a3,2021-10-27_13h08.39.317,arrow_simon_punish,2021.1.2,MacIntel,59.97361161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,0.8352,3,1,13,0,1,right.png,,p,left,61153455405f1e389764b2a3,2021-10-27_13h08.39.317,arrow_simon_punish,2021.1.2,MacIntel,59.97361161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,1.1676,3,2,14,1,1,right.png,,p,right,61153455405f1e389764b2a3,2021-10-27_13h08.39.317,arrow_simon_punish,2021.1.2,MacIntel,59.97361161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,1.0845,3,3,15,3,1,left.png,,w,right,61153455405f1e389764b2a3,2021-10-27_13h08.39.317,arrow_simon_punish,2021.1.2,MacIntel,59.97361161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,0.9389,4,0,16,1,1,right.png,,p,right,61153455405f1e389764b2a3,2021-10-27_13h08.39.317,arrow_simon_punish,2021.1.2,MacIntel,59.97361161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,0.616,4,1,17,3,1,left.png,,w,right,61153455405f1e389764b2a3,2021-10-27_13h08.39.317,arrow_simon_punish,2021.1.2,MacIntel,59.97361161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,1.4051,4,2,18,2,1,left.png,,w,left,61153455405f1e389764b2a3,2021-10-27_13h08.39.317,arrow_simon_punish,2021.1.2,MacIntel,59.97361161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,0.7541,4,3,19,0,1,right.png,,p,left,61153455405f1e389764b2a3,2021-10-27_13h08.39.317,arrow_simon_punish,2021.1.2,MacIntel,59.97361161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,1.3025,5,0,20,2,1,left.png,,w,left,61153455405f1e389764b2a3,2021-10-27_13h08.39.317,arrow_simon_punish,2021.1.2,MacIntel,59.97361161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,1.5042,5,1,21,0,1,right.png,,p,left,61153455405f1e389764b2a3,2021-10-27_13h08.39.317,arrow_simon_punish,2021.1.2,MacIntel,59.97361161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,0.8995,5,2,22,3,1,left.png,,w,right,61153455405f1e389764b2a3,2021-10-27_13h08.39.317,arrow_simon_punish,2021.1.2,MacIntel,59.97361161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,0.6697,5,3,23,1,1,right.png,,p,right,61153455405f1e389764b2a3,2021-10-27_13h08.39.317,arrow_simon_punish,2021.1.2,MacIntel,59.97361161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,1.2363,6,0,24,1,1,right.png,,p,right,61153455405f1e389764b2a3,2021-10-27_13h08.39.317,arrow_simon_punish,2021.1.2,MacIntel,59.97361161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,1.4026,6,1,25,3,1,left.png,,w,right,61153455405f1e389764b2a3,2021-10-27_13h08.39.317,arrow_simon_punish,2021.1.2,MacIntel,59.97361161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
