instruct_resp_simon.keys,instruct_resp_simon.corr,instruct_resp_simon.rt,trial_resp_simon.keys,trial_resp_simon.corr,trial_resp_simon.rt,trials_train_simon.thisRepN,trials_train_simon.thisTrialN,trials_train_simon.thisN,trials_train_simon.thisIndex,trials_train_simon.ran,target_file,target_pos,target_resp,target_side,participant,date,expName,psychopyVersion,OS,frameRate,instruct_resp_timing.keys,instruct_resp_timing.corr,instruct_resp_timing.rt,trial_resp_timing.keys,trial_resp_timing.rt,trials_train_timing.thisRepN,trials_train_timing.thisTrialN,trials_train_timing.thisN,trials_train_timing.thisIndex,trials_train_timing.ran,instruct_resp.keys,instruct_resp.corr,instruct_resp.rt,trial_resp.keys,trial_resp.corr,trial_resp.rt,target_onset,err,pun,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,block_note_resp.keys,block_note_resp.rt,block_num,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,punish
,,,,,,,,,,,,,,,610b7bc3d1ff91a60a2cbe5b,2021-10-21_17h06.29.317,arrow_simon_punish,2021.1.2,MacIntel,60.0024001,,,,p,2.4493,40,0,40,0,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,610b7bc3d1ff91a60a2cbe5b,2021-10-21_17h06.29.317,arrow_simon_punish,2021.1.2,MacIntel,60.0024001,,,,p,2.646,41,0,41,0,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,610b7bc3d1ff91a60a2cbe5b,2021-10-21_17h06.29.317,arrow_simon_punish,2021.1.2,MacIntel,60.0024001,,,,p,2.5833,42,0,42,0,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,610b7bc3d1ff91a60a2cbe5b,2021-10-21_17h06.29.317,arrow_simon_punish,2021.1.2,MacIntel,60.0024001,,,,p,2.5227,43,0,43,0,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,610b7bc3d1ff91a60a2cbe5b,2021-10-21_17h06.29.317,arrow_simon_punish,2021.1.2,MacIntel,60.0024001,,,,p,2.4639,44,0,44,0,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,610b7bc3d1ff91a60a2cbe5b,2021-10-21_17h06.29.317,arrow_simon_punish,2021.1.2,MacIntel,60.0024001,,,,p,2.4714,45,0,45,0,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,610b7bc3d1ff91a60a2cbe5b,2021-10-21_17h06.29.317,arrow_simon_punish,2021.1.2,MacIntel,60.0024001,,,,p,2.4404,46,0,46,0,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,610b7bc3d1ff91a60a2cbe5b,2021-10-21_17h06.29.317,arrow_simon_punish,2021.1.2,MacIntel,60.0024001,,,,p,2.714,47,0,47,0,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,610b7bc3d1ff91a60a2cbe5b,2021-10-21_17h06.29.317,arrow_simon_punish,2021.1.2,MacIntel,60.0024001,,,,p,2.3737,48,0,48,0,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,610b7bc3d1ff91a60a2cbe5b,2021-10-21_17h06.29.317,arrow_simon_punish,2021.1.2,MacIntel,60.0024001,,,,p,2.4247,49,0,49,0,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,610b7bc3d1ff91a60a2cbe5b,2021-10-21_17h06.29.317,arrow_simon_punish,2021.1.2,MacIntel,60.0024001,,,,p,2.9017,50,0,50,0,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,610b7bc3d1ff91a60a2cbe5b,2021-10-21_17h06.29.317,arrow_simon_punish,2021.1.2,MacIntel,60.0024001,,,,p,2.8903,51,0,51,0,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,610b7bc3d1ff91a60a2cbe5b,2021-10-21_17h06.29.317,arrow_simon_punish,2021.1.2,MacIntel,60.0024001,,,,p,2.41,52,0,52,0,1,,,,,,,,,,,,,,,,,,,,,,,
