instruct_resp_simon.keys,instruct_resp_simon.corr,instruct_resp_simon.rt,trial_resp_simon.keys,trial_resp_simon.corr,trial_resp_simon.rt,trials_train_simon.thisRepN,trials_train_simon.thisTrialN,trials_train_simon.thisN,trials_train_simon.thisIndex,trials_train_simon.ran,target_file,target_pos,target_resp,participant,session,date,expName,psychopyVersion,OS,frameRate,instruct_resp_timing.keys,instruct_resp_timing.corr,instruct_resp_timing.rt,trial_resp_timing.keys,trial_resp_timing.rt,trials_train_timing.thisRepN,trials_train_timing.thisTrialN,trials_train_timing.thisN,trials_train_timing.thisIndex,trials_train_timing.ran,instruct_resp.keys,instruct_resp.corr,instruct_resp.rt,trial_resp.keys,trial_resp.corr,trial_resp.rt,target_onset,err,pun,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,block_note_resp.keys,block_note_resp.rt,block_num,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,punish,complete_resp.keys,complete_resp.rt,raffle_trial,raffle_err,raffle_rew
space,0,53.702,p,1,0.805,0,0,0,1,1,right.png,,p,611688156f6d22853511ffb3,001,2021-10-20_15h45.43.506,arrow_simon_punish,2021.1.2,Win32,144.092219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,0.584,0,1,1,2,1,left.png,,w,611688156f6d22853511ffb3,001,2021-10-20_15h45.43.506,arrow_simon_punish,2021.1.2,Win32,144.092219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,0,0.758,0,2,2,0,1,right.png,,p,611688156f6d22853511ffb3,001,2021-10-20_15h45.43.506,arrow_simon_punish,2021.1.2,Win32,144.092219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,0,1.35,0,3,3,3,1,left.png,,w,611688156f6d22853511ffb3,001,2021-10-20_15h45.43.506,arrow_simon_punish,2021.1.2,Win32,144.092219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,0.799,1,0,4,3,1,left.png,,w,611688156f6d22853511ffb3,001,2021-10-20_15h45.43.506,arrow_simon_punish,2021.1.2,Win32,144.092219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,0.762,1,1,5,2,1,left.png,,w,611688156f6d22853511ffb3,001,2021-10-20_15h45.43.506,arrow_simon_punish,2021.1.2,Win32,144.092219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,0.711,1,2,6,1,1,right.png,,p,611688156f6d22853511ffb3,001,2021-10-20_15h45.43.506,arrow_simon_punish,2021.1.2,Win32,144.092219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,1.01,1,3,7,0,1,right.png,,p,611688156f6d22853511ffb3,001,2021-10-20_15h45.43.506,arrow_simon_punish,2021.1.2,Win32,144.092219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,611688156f6d22853511ffb3,001,2021-10-20_15h45.43.506,arrow_simon_punish,2021.1.2,Win32,144.092219,space,0,80.494,w,1.996,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,611688156f6d22853511ffb3,001,2021-10-20_15h45.43.506,arrow_simon_punish,2021.1.2,Win32,144.092219,,,,w,1.96,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
