instruct_resp_simon.keys,instruct_resp_simon.corr,instruct_resp_simon.rt,trial_resp_simon.keys,trial_resp_simon.corr,trial_resp_simon.rt,trials_train_simon.thisRepN,trials_train_simon.thisTrialN,trials_train_simon.thisN,trials_train_simon.thisIndex,trials_train_simon.ran,target_file,target_pos,target_resp,target_side,participant,date,expName,psychopyVersion,OS,frameRate,instruct_resp_timing.keys,instruct_resp_timing.corr,instruct_resp_timing.rt,trial_resp_timing.keys,trial_resp_timing.rt,trials_train_timing.thisRepN,trials_train_timing.thisTrialN,trials_train_timing.thisN,trials_train_timing.thisIndex,trials_train_timing.ran,instruct_resp.keys,instruct_resp.corr,instruct_resp.rt,trial_resp.keys,trial_resp.corr,trial_resp.rt,target_onset,err,pun,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,block_note_resp.keys,block_note_resp.rt,block_num,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,punish,complete_resp.keys,complete_resp.rt,raffle_trial,raffle_err,raffle_rew
space,0,31.1561,p,1,1.3644,0,0,0,1,1,right.png,,p,right,6168a697ae9f4d8dcfada29b,2021-10-27_11h08.55.327,arrow_simon_punish,2021.1.2,MacIntel,30.00120005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,1.1767,0,1,1,2,1,left.png,,w,left,6168a697ae9f4d8dcfada29b,2021-10-27_11h08.55.327,arrow_simon_punish,2021.1.2,MacIntel,30.00120005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,0,1.0776,0,2,2,3,1,left.png,,w,right,6168a697ae9f4d8dcfada29b,2021-10-27_11h08.55.327,arrow_simon_punish,2021.1.2,MacIntel,30.00120005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,1.286,0,3,3,0,1,right.png,,p,left,6168a697ae9f4d8dcfada29b,2021-10-27_11h08.55.327,arrow_simon_punish,2021.1.2,MacIntel,30.00120005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,1.5479,1,0,4,0,1,right.png,,p,left,6168a697ae9f4d8dcfada29b,2021-10-27_11h08.55.327,arrow_simon_punish,2021.1.2,MacIntel,30.00120005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,1.3141,1,1,5,1,1,right.png,,p,right,6168a697ae9f4d8dcfada29b,2021-10-27_11h08.55.327,arrow_simon_punish,2021.1.2,MacIntel,30.00120005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,1.2746,1,2,6,2,1,left.png,,w,left,6168a697ae9f4d8dcfada29b,2021-10-27_11h08.55.327,arrow_simon_punish,2021.1.2,MacIntel,30.00120005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,1.0182,1,3,7,3,1,left.png,,w,right,6168a697ae9f4d8dcfada29b,2021-10-27_11h08.55.327,arrow_simon_punish,2021.1.2,MacIntel,30.00120005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,0.8712,2,0,8,0,1,right.png,,p,left,6168a697ae9f4d8dcfada29b,2021-10-27_11h08.55.327,arrow_simon_punish,2021.1.2,MacIntel,30.00120005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,1.0015,2,1,9,1,1,right.png,,p,right,6168a697ae9f4d8dcfada29b,2021-10-27_11h08.55.327,arrow_simon_punish,2021.1.2,MacIntel,30.00120005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,0.8863,2,2,10,2,1,left.png,,w,left,6168a697ae9f4d8dcfada29b,2021-10-27_11h08.55.327,arrow_simon_punish,2021.1.2,MacIntel,30.00120005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,1.34,2,3,11,3,1,left.png,,w,right,6168a697ae9f4d8dcfada29b,2021-10-27_11h08.55.327,arrow_simon_punish,2021.1.2,MacIntel,30.00120005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,1.1216,3,0,12,2,1,left.png,,w,left,6168a697ae9f4d8dcfada29b,2021-10-27_11h08.55.327,arrow_simon_punish,2021.1.2,MacIntel,30.00120005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,1.0751,3,1,13,3,1,left.png,,w,right,6168a697ae9f4d8dcfada29b,2021-10-27_11h08.55.327,arrow_simon_punish,2021.1.2,MacIntel,30.00120005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,0.7228,3,2,14,1,1,right.png,,p,right,6168a697ae9f4d8dcfada29b,2021-10-27_11h08.55.327,arrow_simon_punish,2021.1.2,MacIntel,30.00120005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,1.5428,3,3,15,0,1,right.png,,p,left,6168a697ae9f4d8dcfada29b,2021-10-27_11h08.55.327,arrow_simon_punish,2021.1.2,MacIntel,30.00120005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,0.8075,4,0,16,2,1,left.png,,w,left,6168a697ae9f4d8dcfada29b,2021-10-27_11h08.55.327,arrow_simon_punish,2021.1.2,MacIntel,30.00120005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,0,1.3721,4,1,17,3,1,left.png,,w,right,6168a697ae9f4d8dcfada29b,2021-10-27_11h08.55.327,arrow_simon_punish,2021.1.2,MacIntel,30.00120005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,0.999,4,2,18,0,1,right.png,,p,left,6168a697ae9f4d8dcfada29b,2021-10-27_11h08.55.327,arrow_simon_punish,2021.1.2,MacIntel,30.00120005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,1.1462,4,3,19,1,1,right.png,,p,right,6168a697ae9f4d8dcfada29b,2021-10-27_11h08.55.327,arrow_simon_punish,2021.1.2,MacIntel,30.00120005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,0.8036,5,0,20,2,1,left.png,,w,left,6168a697ae9f4d8dcfada29b,2021-10-27_11h08.55.327,arrow_simon_punish,2021.1.2,MacIntel,30.00120005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,1.4106,5,1,21,3,1,left.png,,w,right,6168a697ae9f4d8dcfada29b,2021-10-27_11h08.55.327,arrow_simon_punish,2021.1.2,MacIntel,30.00120005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,1.3956,5,2,22,1,1,right.png,,p,right,6168a697ae9f4d8dcfada29b,2021-10-27_11h08.55.327,arrow_simon_punish,2021.1.2,MacIntel,30.00120005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,1.3358,5,3,23,0,1,right.png,,p,left,6168a697ae9f4d8dcfada29b,2021-10-27_11h08.55.327,arrow_simon_punish,2021.1.2,MacIntel,30.00120005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,1.0239,6,0,24,3,1,left.png,,w,right,6168a697ae9f4d8dcfada29b,2021-10-27_11h08.55.327,arrow_simon_punish,2021.1.2,MacIntel,30.00120005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,1.7885,6,1,25,0,1,right.png,,p,left,6168a697ae9f4d8dcfada29b,2021-10-27_11h08.55.327,arrow_simon_punish,2021.1.2,MacIntel,30.00120005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,1.3558,6,2,26,1,1,right.png,,p,right,6168a697ae9f4d8dcfada29b,2021-10-27_11h08.55.327,arrow_simon_punish,2021.1.2,MacIntel,30.00120005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,0.7418,6,3,27,2,1,left.png,,w,left,6168a697ae9f4d8dcfada29b,2021-10-27_11h08.55.327,arrow_simon_punish,2021.1.2,MacIntel,30.00120005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,0.9707,7,0,28,1,1,right.png,,p,right,6168a697ae9f4d8dcfada29b,2021-10-27_11h08.55.327,arrow_simon_punish,2021.1.2,MacIntel,30.00120005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,0.9341,7,1,29,2,1,left.png,,w,left,6168a697ae9f4d8dcfada29b,2021-10-27_11h08.55.327,arrow_simon_punish,2021.1.2,MacIntel,30.00120005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,1.0615,7,2,30,3,1,left.png,,w,right,6168a697ae9f4d8dcfada29b,2021-10-27_11h08.55.327,arrow_simon_punish,2021.1.2,MacIntel,30.00120005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,1.6249,7,3,31,0,1,right.png,,p,left,6168a697ae9f4d8dcfada29b,2021-10-27_11h08.55.327,arrow_simon_punish,2021.1.2,MacIntel,30.00120005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,1.0907,8,0,32,2,1,left.png,,w,left,6168a697ae9f4d8dcfada29b,2021-10-27_11h08.55.327,arrow_simon_punish,2021.1.2,MacIntel,30.00120005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,1.1507,8,1,33,1,1,right.png,,p,right,6168a697ae9f4d8dcfada29b,2021-10-27_11h08.55.327,arrow_simon_punish,2021.1.2,MacIntel,30.00120005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,1.1597,8,2,34,3,1,left.png,,w,right,6168a697ae9f4d8dcfada29b,2021-10-27_11h08.55.327,arrow_simon_punish,2021.1.2,MacIntel,30.00120005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,1.2534,8,3,35,0,1,right.png,,p,left,6168a697ae9f4d8dcfada29b,2021-10-27_11h08.55.327,arrow_simon_punish,2021.1.2,MacIntel,30.00120005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,0.9033,9,0,36,0,1,right.png,,p,left,6168a697ae9f4d8dcfada29b,2021-10-27_11h08.55.327,arrow_simon_punish,2021.1.2,MacIntel,30.00120005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,1.2422,9,1,37,2,1,left.png,,w,left,6168a697ae9f4d8dcfada29b,2021-10-27_11h08.55.327,arrow_simon_punish,2021.1.2,MacIntel,30.00120005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,0.9775,9,2,38,1,1,right.png,,p,right,6168a697ae9f4d8dcfada29b,2021-10-27_11h08.55.327,arrow_simon_punish,2021.1.2,MacIntel,30.00120005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,1.0212,9,3,39,3,1,left.png,,w,right,6168a697ae9f4d8dcfada29b,2021-10-27_11h08.55.327,arrow_simon_punish,2021.1.2,MacIntel,30.00120005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,6168a697ae9f4d8dcfada29b,2021-10-27_11h08.55.327,arrow_simon_punish,2021.1.2,MacIntel,30.00120005,space,0,28.7196,p,2.7802,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,6168a697ae9f4d8dcfada29b,2021-10-27_11h08.55.327,arrow_simon_punish,2021.1.2,MacIntel,30.00120005,,,,p,2.4295,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,6168a697ae9f4d8dcfada29b,2021-10-27_11h08.55.327,arrow_simon_punish,2021.1.2,MacIntel,30.00120005,,,,p,2.1125,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,6168a697ae9f4d8dcfada29b,2021-10-27_11h08.55.327,arrow_simon_punish,2021.1.2,MacIntel,30.00120005,,,,p,2.4729,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,6168a697ae9f4d8dcfada29b,2021-10-27_11h08.55.327,arrow_simon_punish,2021.1.2,MacIntel,30.00120005,,,,p,2.4894,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,6168a697ae9f4d8dcfada29b,2021-10-27_11h08.55.327,arrow_simon_punish,2021.1.2,MacIntel,30.00120005,,,,p,2.4853,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,6168a697ae9f4d8dcfada29b,2021-10-27_11h08.55.327,arrow_simon_punish,2021.1.2,MacIntel,30.00120005,,,,w,2.5799,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,6168a697ae9f4d8dcfada29b,2021-10-27_11h08.55.327,arrow_simon_punish,2021.1.2,MacIntel,30.00120005,,,,w,2.232,7,0,7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,6168a697ae9f4d8dcfada29b,2021-10-27_11h08.55.327,arrow_simon_punish,2021.1.2,MacIntel,30.00120005,,,,w,2.6221,8,0,8,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,6168a697ae9f4d8dcfada29b,2021-10-27_11h08.55.327,arrow_simon_punish,2021.1.2,MacIntel,30.00120005,,,,w,2.7404,9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,6168a697ae9f4d8dcfada29b,2021-10-27_11h08.55.327,arrow_simon_punish,2021.1.2,MacIntel,30.00120005,,,,w,2.4722,10,0,10,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,6168a697ae9f4d8dcfada29b,2021-10-27_11h08.55.327,arrow_simon_punish,2021.1.2,MacIntel,30.00120005,,,,w,2.7099,11,0,11,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,6168a697ae9f4d8dcfada29b,2021-10-27_11h08.55.327,arrow_simon_punish,2021.1.2,MacIntel,30.00120005,,,,w,2.4571,12,0,12,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,6168a697ae9f4d8dcfada29b,2021-10-27_11h08.55.327,arrow_simon_punish,2021.1.2,MacIntel,30.00120005,,,,w,2.4707,13,0,13,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,6168a697ae9f4d8dcfada29b,2021-10-27_11h08.55.327,arrow_simon_punish,2021.1.2,MacIntel,30.00120005,,,,w,2.4512,14,0,14,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,6168a697ae9f4d8dcfada29b,2021-10-27_11h08.55.327,arrow_simon_punish,2021.1.2,MacIntel,30.00120005,,,,p,2.4112,15,0,15,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,6168a697ae9f4d8dcfada29b,2021-10-27_11h08.55.327,arrow_simon_punish,2021.1.2,MacIntel,30.00120005,,,,w,2.5004,16,0,16,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,6168a697ae9f4d8dcfada29b,2021-10-27_11h08.55.327,arrow_simon_punish,2021.1.2,MacIntel,30.00120005,,,,w,2.4875,17,0,17,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,6168a697ae9f4d8dcfada29b,2021-10-27_11h08.55.327,arrow_simon_punish,2021.1.2,MacIntel,30.00120005,,,,p,2.4381,18,0,18,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,6168a697ae9f4d8dcfada29b,2021-10-27_11h08.55.327,arrow_simon_punish,2021.1.2,MacIntel,30.00120005,,,,p,2.4458,19,0,19,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,6168a697ae9f4d8dcfada29b,2021-10-27_11h08.55.327,arrow_simon_punish,2021.1.2,MacIntel,30.00120005,,,,w,2.5018,20,0,20,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,6168a697ae9f4d8dcfada29b,2021-10-27_11h08.55.327,arrow_simon_punish,2021.1.2,MacIntel,30.00120005,,,,p,2.4278,21,0,21,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,6168a697ae9f4d8dcfada29b,2021-10-27_11h08.55.327,arrow_simon_punish,2021.1.2,MacIntel,30.00120005,,,,w,2.4312,22,0,22,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,6168a697ae9f4d8dcfada29b,2021-10-27_11h08.55.327,arrow_simon_punish,2021.1.2,MacIntel,30.00120005,,,,p,2.4752,23,0,23,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,6168a697ae9f4d8dcfada29b,2021-10-27_11h08.55.327,arrow_simon_punish,2021.1.2,MacIntel,30.00120005,,,,w,2.3965,24,0,24,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,6168a697ae9f4d8dcfada29b,2021-10-27_11h08.55.327,arrow_simon_punish,2021.1.2,MacIntel,30.00120005,,,,p,2.454,25,0,25,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
