instruct_resp_simon.keys,instruct_resp_simon.corr,instruct_resp_simon.rt,trial_resp_simon.keys,trial_resp_simon.corr,trial_resp_simon.rt,trials_train_simon.thisRepN,trials_train_simon.thisTrialN,trials_train_simon.thisN,trials_train_simon.thisIndex,trials_train_simon.ran,target_file,target_pos,target_resp,target_side,participant,date,expName,psychopyVersion,OS,frameRate,instruct_resp_timing.keys,instruct_resp_timing.corr,instruct_resp_timing.rt,trial_resp_timing.keys,trial_resp_timing.rt,trials_train_timing.thisRepN,trials_train_timing.thisTrialN,trials_train_timing.thisN,trials_train_timing.thisIndex,trials_train_timing.ran,instruct_resp.keys,instruct_resp.corr,instruct_resp.rt,trial_resp.keys,trial_resp.corr,trial_resp.rt,target_onset,err,pun,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,block_note_resp.keys,block_note_resp.rt,block_num,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,punish,complete_resp.keys,complete_resp.rt,raffle_trial,raffle_err,raffle_rew
space,0,42.9658,w,1,1.1569,0,0,0,2,1,left.png,,w,left,616f0823ca981b3ebf4bfcac,2021-10-27_12h32.25.355,arrow_simon_punish,2021.1.2,Win32,59.95922773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,0,1.6804,0,1,1,3,1,left.png,,w,right,616f0823ca981b3ebf4bfcac,2021-10-27_12h32.25.355,arrow_simon_punish,2021.1.2,Win32,59.95922773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,1.4441,0,2,2,1,1,right.png,,p,right,616f0823ca981b3ebf4bfcac,2021-10-27_12h32.25.355,arrow_simon_punish,2021.1.2,Win32,59.95922773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,1.3809,0,3,3,0,1,right.png,,p,left,616f0823ca981b3ebf4bfcac,2021-10-27_12h32.25.355,arrow_simon_punish,2021.1.2,Win32,59.95922773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,1.2519,1,0,4,2,1,left.png,,w,left,616f0823ca981b3ebf4bfcac,2021-10-27_12h32.25.355,arrow_simon_punish,2021.1.2,Win32,59.95922773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,0.8277,1,1,5,0,1,right.png,,p,left,616f0823ca981b3ebf4bfcac,2021-10-27_12h32.25.355,arrow_simon_punish,2021.1.2,Win32,59.95922773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,1.5669,1,2,6,3,1,left.png,,w,right,616f0823ca981b3ebf4bfcac,2021-10-27_12h32.25.355,arrow_simon_punish,2021.1.2,Win32,59.95922773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,1.7081,1,3,7,1,1,right.png,,p,right,616f0823ca981b3ebf4bfcac,2021-10-27_12h32.25.355,arrow_simon_punish,2021.1.2,Win32,59.95922773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,0.8985,2,0,8,3,1,left.png,,w,right,616f0823ca981b3ebf4bfcac,2021-10-27_12h32.25.355,arrow_simon_punish,2021.1.2,Win32,59.95922773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,0.9688,2,1,9,2,1,left.png,,w,left,616f0823ca981b3ebf4bfcac,2021-10-27_12h32.25.355,arrow_simon_punish,2021.1.2,Win32,59.95922773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,0.7811,2,2,10,1,1,right.png,,p,right,616f0823ca981b3ebf4bfcac,2021-10-27_12h32.25.355,arrow_simon_punish,2021.1.2,Win32,59.95922773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,1.532,2,3,11,0,1,right.png,,p,left,616f0823ca981b3ebf4bfcac,2021-10-27_12h32.25.355,arrow_simon_punish,2021.1.2,Win32,59.95922773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,0.6924,3,0,12,3,1,left.png,,w,right,616f0823ca981b3ebf4bfcac,2021-10-27_12h32.25.355,arrow_simon_punish,2021.1.2,Win32,59.95922773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,1.534,3,1,13,2,1,left.png,,w,left,616f0823ca981b3ebf4bfcac,2021-10-27_12h32.25.355,arrow_simon_punish,2021.1.2,Win32,59.95922773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,1.453,3,2,14,0,1,right.png,,p,left,616f0823ca981b3ebf4bfcac,2021-10-27_12h32.25.355,arrow_simon_punish,2021.1.2,Win32,59.95922773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,0.7976,3,3,15,1,1,right.png,,p,right,616f0823ca981b3ebf4bfcac,2021-10-27_12h32.25.355,arrow_simon_punish,2021.1.2,Win32,59.95922773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,1.1003,4,0,16,2,1,left.png,,w,left,616f0823ca981b3ebf4bfcac,2021-10-27_12h32.25.355,arrow_simon_punish,2021.1.2,Win32,59.95922773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,1.2436,4,1,17,1,1,right.png,,p,right,616f0823ca981b3ebf4bfcac,2021-10-27_12h32.25.355,arrow_simon_punish,2021.1.2,Win32,59.95922773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,1.628,4,2,18,0,1,right.png,,p,left,616f0823ca981b3ebf4bfcac,2021-10-27_12h32.25.355,arrow_simon_punish,2021.1.2,Win32,59.95922773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,1.2038,4,3,19,3,1,left.png,,w,right,616f0823ca981b3ebf4bfcac,2021-10-27_12h32.25.355,arrow_simon_punish,2021.1.2,Win32,59.95922773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,0.7613,5,0,20,1,1,right.png,,p,right,616f0823ca981b3ebf4bfcac,2021-10-27_12h32.25.355,arrow_simon_punish,2021.1.2,Win32,59.95922773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,0.7478,5,1,21,3,1,left.png,,w,right,616f0823ca981b3ebf4bfcac,2021-10-27_12h32.25.355,arrow_simon_punish,2021.1.2,Win32,59.95922773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,1.0222,5,2,22,0,1,right.png,,p,left,616f0823ca981b3ebf4bfcac,2021-10-27_12h32.25.355,arrow_simon_punish,2021.1.2,Win32,59.95922773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,1.2708,5,3,23,2,1,left.png,,w,left,616f0823ca981b3ebf4bfcac,2021-10-27_12h32.25.355,arrow_simon_punish,2021.1.2,Win32,59.95922773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,1.2181,6,0,24,2,1,left.png,,w,left,616f0823ca981b3ebf4bfcac,2021-10-27_12h32.25.355,arrow_simon_punish,2021.1.2,Win32,59.95922773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
