instruct_resp_simon.keys,instruct_resp_simon.corr,instruct_resp_simon.rt,trial_resp_simon.keys,trial_resp_simon.corr,trial_resp_simon.rt,trials_train_simon.thisRepN,trials_train_simon.thisTrialN,trials_train_simon.thisN,trials_train_simon.thisIndex,trials_train_simon.ran,target_file,target_pos,target_resp,participant,session,date,expName,psychopyVersion,OS,frameRate,instruct_resp_timing.keys,instruct_resp_timing.corr,instruct_resp_timing.rt,trial_resp_timing.keys,trial_resp_timing.rt,trials_train_timing.thisRepN,trials_train_timing.thisTrialN,trials_train_timing.thisN,trials_train_timing.thisIndex,trials_train_timing.ran,instruct_resp.keys,instruct_resp.corr,instruct_resp.rt,trial_resp.keys,trial_resp.corr,trial_resp.rt,target_onset,err,pun,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,block_note_resp.keys,block_note_resp.rt,block_num,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,punish,complete_resp.keys,complete_resp.rt,raffle_trial,raffle_err,raffle_rew
space,0,51.9937,p,1,1.0123,0,0,0,1,1,right.png,,p,611c1cf68a3a6fc487b01d82,001,2021-10-20_13h00.15.571,arrow_simon_punish,2021.1.2,Win32,121.5953307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,0.5452,0,1,1,2,1,left.png,,w,611c1cf68a3a6fc487b01d82,001,2021-10-20_13h00.15.571,arrow_simon_punish,2021.1.2,Win32,121.5953307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,0,0.7267,0,2,2,0,1,right.png,,p,611c1cf68a3a6fc487b01d82,001,2021-10-20_13h00.15.571,arrow_simon_punish,2021.1.2,Win32,121.5953307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,1.4297,0,3,3,3,1,left.png,,w,611c1cf68a3a6fc487b01d82,001,2021-10-20_13h00.15.571,arrow_simon_punish,2021.1.2,Win32,121.5953307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,0.5591,1,0,4,3,1,left.png,,w,611c1cf68a3a6fc487b01d82,001,2021-10-20_13h00.15.571,arrow_simon_punish,2021.1.2,Win32,121.5953307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,0.6776,1,1,5,2,1,left.png,,w,611c1cf68a3a6fc487b01d82,001,2021-10-20_13h00.15.571,arrow_simon_punish,2021.1.2,Win32,121.5953307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,0.6755,1,2,6,1,1,right.png,,p,611c1cf68a3a6fc487b01d82,001,2021-10-20_13h00.15.571,arrow_simon_punish,2021.1.2,Win32,121.5953307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,0,1.0181,1,3,7,0,1,right.png,,p,611c1cf68a3a6fc487b01d82,001,2021-10-20_13h00.15.571,arrow_simon_punish,2021.1.2,Win32,121.5953307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,611c1cf68a3a6fc487b01d82,001,2021-10-20_13h00.15.571,arrow_simon_punish,2021.1.2,Win32,121.5953307,space,0,36.0706,w,3.9511,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,611c1cf68a3a6fc487b01d82,001,2021-10-20_13h00.15.571,arrow_simon_punish,2021.1.2,Win32,121.5953307,,,,p,2.8002,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
