instruct_resp_simon.keys,instruct_resp_simon.corr,instruct_resp_simon.rt,trial_resp_simon.keys,trial_resp_simon.corr,trial_resp_simon.rt,trials_train_simon.thisRepN,trials_train_simon.thisTrialN,trials_train_simon.thisN,trials_train_simon.thisIndex,trials_train_simon.ran,target_file,target_pos,target_resp,target_side,participant,date,expName,psychopyVersion,OS,frameRate,instruct_resp_timing.keys,instruct_resp_timing.corr,instruct_resp_timing.rt,trial_resp_timing.keys,trial_resp_timing.rt,trials_train_timing.thisRepN,trials_train_timing.thisTrialN,trials_train_timing.thisN,trials_train_timing.thisIndex,trials_train_timing.ran,instruct_resp.keys,instruct_resp.corr,instruct_resp.rt,trial_resp.keys,trial_resp.corr,trial_resp.rt,target_onset,err,pun,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,block_note_resp.keys,block_note_resp.rt,block_num,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,punish,complete_resp.keys,complete_resp.rt,raffle_trial,raffle_err,raffle_rew
space,0,38.822,p,1,1.409,0,0,0,1,1,right.png,,p,right,616ef3ce75a4007b7eb8ddfa,2021-10-21_09h21.08.330,arrow_simon_punish,2021.1.2,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,0,1.739,0,1,1,0,1,right.png,,p,left,616ef3ce75a4007b7eb8ddfa,2021-10-21_09h21.08.330,arrow_simon_punish,2021.1.2,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,1.38,0,2,2,3,1,left.png,,w,right,616ef3ce75a4007b7eb8ddfa,2021-10-21_09h21.08.330,arrow_simon_punish,2021.1.2,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,1.259,0,3,3,2,1,left.png,,w,left,616ef3ce75a4007b7eb8ddfa,2021-10-21_09h21.08.330,arrow_simon_punish,2021.1.2,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,1.215,1,0,4,1,1,right.png,,p,right,616ef3ce75a4007b7eb8ddfa,2021-10-21_09h21.08.330,arrow_simon_punish,2021.1.2,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,0.934,1,1,5,2,1,left.png,,w,left,616ef3ce75a4007b7eb8ddfa,2021-10-21_09h21.08.330,arrow_simon_punish,2021.1.2,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,0.845,1,2,6,3,1,left.png,,w,right,616ef3ce75a4007b7eb8ddfa,2021-10-21_09h21.08.330,arrow_simon_punish,2021.1.2,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,0.668,1,3,7,0,1,right.png,,p,left,616ef3ce75a4007b7eb8ddfa,2021-10-21_09h21.08.330,arrow_simon_punish,2021.1.2,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,0.442,2,0,8,0,1,right.png,,p,left,616ef3ce75a4007b7eb8ddfa,2021-10-21_09h21.08.330,arrow_simon_punish,2021.1.2,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,0.557,2,1,9,2,1,left.png,,w,left,616ef3ce75a4007b7eb8ddfa,2021-10-21_09h21.08.330,arrow_simon_punish,2021.1.2,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,1.238,2,2,10,1,1,right.png,,p,right,616ef3ce75a4007b7eb8ddfa,2021-10-21_09h21.08.330,arrow_simon_punish,2021.1.2,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,1.338,2,3,11,3,1,left.png,,w,right,616ef3ce75a4007b7eb8ddfa,2021-10-21_09h21.08.330,arrow_simon_punish,2021.1.2,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,0.648,3,0,12,1,1,right.png,,p,right,616ef3ce75a4007b7eb8ddfa,2021-10-21_09h21.08.330,arrow_simon_punish,2021.1.2,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,1.422,3,1,13,0,1,right.png,,p,left,616ef3ce75a4007b7eb8ddfa,2021-10-21_09h21.08.330,arrow_simon_punish,2021.1.2,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,1.335,3,2,14,2,1,left.png,,w,left,616ef3ce75a4007b7eb8ddfa,2021-10-21_09h21.08.330,arrow_simon_punish,2021.1.2,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,0.83,3,3,15,3,1,left.png,,w,right,616ef3ce75a4007b7eb8ddfa,2021-10-21_09h21.08.330,arrow_simon_punish,2021.1.2,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,0.574,4,0,16,3,1,left.png,,w,right,616ef3ce75a4007b7eb8ddfa,2021-10-21_09h21.08.330,arrow_simon_punish,2021.1.2,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,1.107,4,1,17,2,1,left.png,,w,left,616ef3ce75a4007b7eb8ddfa,2021-10-21_09h21.08.330,arrow_simon_punish,2021.1.2,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,0.585,4,2,18,1,1,right.png,,p,right,616ef3ce75a4007b7eb8ddfa,2021-10-21_09h21.08.330,arrow_simon_punish,2021.1.2,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,1.542,4,3,19,0,1,right.png,,p,left,616ef3ce75a4007b7eb8ddfa,2021-10-21_09h21.08.330,arrow_simon_punish,2021.1.2,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,0.773,5,0,20,3,1,left.png,,w,right,616ef3ce75a4007b7eb8ddfa,2021-10-21_09h21.08.330,arrow_simon_punish,2021.1.2,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,1.125,5,1,21,0,1,right.png,,p,left,616ef3ce75a4007b7eb8ddfa,2021-10-21_09h21.08.330,arrow_simon_punish,2021.1.2,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,0.89,5,2,22,2,1,left.png,,w,left,616ef3ce75a4007b7eb8ddfa,2021-10-21_09h21.08.330,arrow_simon_punish,2021.1.2,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,1.229,5,3,23,1,1,right.png,,p,right,616ef3ce75a4007b7eb8ddfa,2021-10-21_09h21.08.330,arrow_simon_punish,2021.1.2,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,0.584,6,0,24,1,1,right.png,,p,right,616ef3ce75a4007b7eb8ddfa,2021-10-21_09h21.08.330,arrow_simon_punish,2021.1.2,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,0.912,6,1,25,3,1,left.png,,w,right,616ef3ce75a4007b7eb8ddfa,2021-10-21_09h21.08.330,arrow_simon_punish,2021.1.2,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,0.857,6,2,26,2,1,left.png,,w,left,616ef3ce75a4007b7eb8ddfa,2021-10-21_09h21.08.330,arrow_simon_punish,2021.1.2,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,1.391,6,3,27,0,1,right.png,,p,left,616ef3ce75a4007b7eb8ddfa,2021-10-21_09h21.08.330,arrow_simon_punish,2021.1.2,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,1.249,7,0,28,1,1,right.png,,p,right,616ef3ce75a4007b7eb8ddfa,2021-10-21_09h21.08.330,arrow_simon_punish,2021.1.2,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,0.645,7,1,29,2,1,left.png,,w,left,616ef3ce75a4007b7eb8ddfa,2021-10-21_09h21.08.330,arrow_simon_punish,2021.1.2,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,0,0.569,7,2,30,0,1,right.png,,p,left,616ef3ce75a4007b7eb8ddfa,2021-10-21_09h21.08.330,arrow_simon_punish,2021.1.2,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,1.268,7,3,31,3,1,left.png,,w,right,616ef3ce75a4007b7eb8ddfa,2021-10-21_09h21.08.330,arrow_simon_punish,2021.1.2,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,0.97,8,0,32,2,1,left.png,,w,left,616ef3ce75a4007b7eb8ddfa,2021-10-21_09h21.08.330,arrow_simon_punish,2021.1.2,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,1.321,8,1,33,0,1,right.png,,p,left,616ef3ce75a4007b7eb8ddfa,2021-10-21_09h21.08.330,arrow_simon_punish,2021.1.2,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,0.697,8,2,34,3,1,left.png,,w,right,616ef3ce75a4007b7eb8ddfa,2021-10-21_09h21.08.330,arrow_simon_punish,2021.1.2,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
